37377,0.0,0,9,97,1
37377,0.1,0,3,902,1
37378,0.0,2,3,901,2
37378,0.1,2,2,94,2
37378,0.2,2,3,91,1
37378,0.3,2,12,98,1
37380,0.0,6,132,93,2
37380,0.1,6,2,91,2
37380,0.2,6,3,901,1
37380,0.3,6,8,96,1
37381,0.0,8,12,93,2
37381,0.1,8,132,901,1
37382,0.0,6,3,901,1
37382,0.1,6,3,98,1
37383,0.0,8,8,93,2
37383,0.1,8,8,97,2
37383,0.2,8,8,98,1
37383,0.3,8,2,901,1
37383,0.4,8,2,94,1
37384,0.0,9,12,98,2
37384,0.1,9,12,97,1
37386,0.0,7,3,98,2
37386,0.1,7,3,97,2
37386,0.2,7,2,94,2
37386,0.3,7,3,901,1
37386,0.4,7,3,901,1
37386,0.5,7,12,98,1
37387,0.0,8,3,902,2
37387,0.1,8,12,97,1
37387,0.2,8,12,91,1
37387,0.3,8,12,98,1
37388,0.0,10,12,93,1
37389,0.0,11,3,901,2
37389,0.1,11,9,91,1
37390,0.0,7,9,94,2
37390,0.1,7,9,901,2
37390,0.2,7,132,98,1
37390,0.3,7,8,93,1
37391,0.0,7,8,97,1
37392,0.0,7,9,901,2
37392,0.1,7,132,901,1
37392,0.2,7,3,902,1
37393,0.0,8,3,902,2
37393,0.1,8,132,97,2
37393,0.2,8,132,96,1
37394,0.0,7,3,91,2
37394,0.1,7,8,96,1
37394,0.2,7,3,902,1
37394,0.3,7,3,902,1
37395,0.0,10,12,98,2
37395,0.1,10,2,902,1
37395,0.2,10,9,98,1
37395,0.3,10,132,91,1
37396,0.0,11,12,98,2
37396,0.1,11,9,94,2
37396,0.2,11,3,901,1
37396,0.3,11,12,98,1
37397,0.0,12,3,901,2
37397,0.1,12,12,91,2
37397,0.2,12,12,97,1
37397,0.3,12,12,94,1
37398,0.0,12,2,97,2
37398,0.1,12,12,97,1
37398,0.2,12,132,902,1
37399,0.0,11,3,901,2
37399,0.1,11,9,901,2
37399,0.2,11,3,93,1
37399,0.3,11,9,96,1
37399,0.4,11,2,901,1
37400,0.0,12,3,94,2
37400,0.1,12,3,93,2
37401,0.0,10,9,96,2
37401,0.1,10,8,98,1
37402,0.0,9,2,901,2
37402,0.1,9,132,97,2
37403,0.0,6,3,901,2
37404,0.0,5,2,94,2
37404,0.1,5,12,901,1
37405,0.0,5,132,98,1
37406,0.0,4,3,93,2
37407,0.0,4,132,96,1
37408,0.0,3,8,96,1
37409,0.0,3,3,902,1
37410,0.0,3,8,98,1
37410,0.1,3,8,901,1
37412,0.0,3,3,902,1
37412,0.1,3,2,93,1
37415,0.0,2,2,98,1
37416,0.0,1,9,96,1
37417,0.0,2,2,97,1
37417,0.1,2,9,901,1
37418,0.0,4,9,901,1
37418,0.1,4,9,97,1
37419,0.0,5,8,902,1
37420,0.0,5,12,91,1
37421,0.0,4,132,91,1
37423,0.0,2,3,94,1
37424,0.0,2,132,96,1
37425,0.0,2,3,91,1
37425,0.1,2,132,98,1
37426,0.0,4,3,91,1
37427,0.0,4,8,901,1
37427,0.1,4,12,98,1
37428,0.0,5,12,901,1
37430,0.0,3,3,98,1
37431,0.0,2,2,96,1
37431,0.1,2,12,98,1
37433,0.0,3,132,93,1
37433,0.1,3,132,97,1
37434,0.0,4,12,901,1
37435,0.0,3,132,93,1
37436,0.0,4,2,98,1
37437,0.0,3,3,93,1
37437,0.1,3,8,94,1
37438,0.0,4,3,902,2
37438,0.1,4,12,94,2
37438,0.2,4,2,902,2
37438,0.3,4,9,902,2
37438,0.4,4,2,901,2
37438,0.5,4,132,93,2
37438,0.6,4,12,97,2
37438,0.7,4,3,94,2
37438,0.8,4,12,901,2
37439,0.0,12,132,901,1
37439,0.1,12,12,97,1
37440,0.0,13,3,94,2
37440,0.1,13,3,94,2
37440,0.2,13,9,902,2
37440,0.3,13,3,901,2
37440,0.4,13,132,901,2
37440,0.5,13,3,902,2
37440,0.6,13,12,93,2
37440,0.7,13,2,901,2
37440,0.8,13,9,93,2
37440,0.9,13,12,91,1
37440,1.0,13,2,91,1
37440,1.1,13,9,97,1
37440,1.2,13,8,96,1
37440,1.3,13,2,91,1
37440,1.4,13,3,91,1
37440,1.5,13,3,901,1
37441,0.0,27,132,97,1
37441,0.1,27,132,901,1
37441,0.2,27,12,98,1
37441,0.3,27,9,97,1
37441,0.4,27,132,902,1
37441,0.5,27,3,901,1
37441,0.6,27,2,91,1
37441,0.7,27,3,902,1
37441,0.8,27,8,96,1
37442,0.0,27,2,901,2
37442,0.1,27,8,97,2
37442,0.2,27,9,91,2
37442,0.3,27,12,98,2
37442,0.4,27,8,97,2
37442,0.5,27,3,97,2
37442,0.6,27,9,901,2
37442,0.7,27,2,901,2
37442,0.8,27,3,902,2
37442,0.9,27,8,901,2
37442,1.0,27,12,93,2
37443,0.0,36,8,91,1
37443,0.1,36,132,97,1
37443,0.2,36,3,902,1
37443,0.3,36,131,93,1
37443,0.4,36,9,98,1
37443,0.5,36,3,901,1
37443,0.6,36,8,98,1
37443,0.7,36,132,93,1
37443,0.8,36,12,96,1
37443,0.9,36,9,96,1
37443,1.0,36,12,96,1
37443,1.1,36,2,902,1
37443,1.2,36,132,93,1
37443,1.3,36,8,97,1
37443,1.4,36,2,98,1
37443,1.5,36,132,96,1
37443,1.6,36,8,94,1
37443,1.7,36,9,901,1
37443,1.8,36,8,901,1
37443,1.9,36,12,91,1
37443,2.0,36,9,96,1
37443,2.1,36,8,98,1
37443,2.2,36,3,91,1
37444,0.0,43,3,902,1
37444,0.1,43,132,93,1
37444,0.2,43,3,93,1
37444,0.3,43,12,91,1
37444,0.4,43,9,91,1
37444,0.5,43,8,98,1
37444,0.6,43,9,901,1
37444,0.7,43,12,96,1
37444,0.8,43,131,97,1
37444,0.9,43,9,97,1
37444,1.0,43,131,94,1
